"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-14","3.36",",,W"," 2237",",,X"," 2236",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"42",",,0","30",",,0",,,"  240",",,X","  230",",,X","12.1",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-15","7.83",",,W"," 1553",",,X"," 1757",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"50",",,0","35",",,0",,,"  290",",,X","  300",",,X","16.1",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-16","6.49",",,W"," 1106",",,X"," 1155",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"49",",,0","38",",,0",,,"  270",",,X","  250",",,X","14.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-17","3.80",",,W"," 1121",",,X"," 1035",",,W","0.57",",,0,2400","0.0","T,,0,","0.0",",,0,",,,"46",",,0","35",",,0",,,"   70",",,X","   50",",,X","15.0",",,X","19.9",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,"    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-18",,," 9999",",X,X",,,"0.05",",,0,2400","0.0",",,0,","0.0",",,0,",,,"50",",,0","37",",,0",,,"  340",",,W",,,"13.0",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-19",,," 2002",",,X"," 1754",",,W","0.00","T,,0,2400","0.0",",,0,","0.0",",,0,",,,"48",",,0","40",",,0",,,"  270",",,X","  270",",,X","13.0",",,X","16.1",",,X",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,X",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-20","6.26",",,W"," 1623",",,X"," 1558",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"41",",,0","34",",,0",,,"  290",",,X","  300",",,X","14.1",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-21","3.13",",,W"," 0935",",,X"," 0943",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"41",",,0","31",",,0",,,"   40",",,X","   60",",,X","12.1",",,X","14.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-22","6.49",",,W"," 1356",",,X"," 1355",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"44",",,0","32",",,0",,,"   40",",,X","   30",",,X","14.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-23","3.13",",,W"," 0310",",,X"," 0757",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"40",",,0","28",",,0",,,"   40",",,X","   40",",,X","12.1",",,X","15.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-24","2.46",",,W"," 1141",",,X"," 1134",",,W","0.02",",,0,2400","0.0",",,0,","0.0",",,0,",,,"50",",,0","32",",,0",,,"   80",",,X","   70",",,X","10.1",",,X","14.1",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,"    1",",,X",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-25",,," 1438",",,X"," 1432",",,W","1.25",",,0,2400","0.0",",,0,","0.0",",,0,",,,"57",",,0","49",",,0",,,"  150",",,X","  180",",,X","16.1",",,X","25.9",",,X","    1",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-26","8.72",",,W"," 1419",",,X"," 1434",",,W","0.00","T,,0,2400","0.0",",,0,","0.0",",,0,",,,"49",",,0","35",",,0",,,"  270",",,X","  280",",,X","19.9",",,X","25.9",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-27","6.93",",,W"," 1535",",,X"," 1712",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"39",",,0","31",",,0",,,"  270",",,X","  270",",,X","16.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-28","8.50",",,W"," 2050",",,X"," 2051",",,W","0.09",",,0,2400","1.3",",,0,","0.0",",,0,",,,"42",",,0","20",",,0",,,"  290",",,X","  290",",,X","25.1",",,X","38.9",",,X","    1",",,X","    1",",,X",,,,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,0",,,"    1",",,X",,,"    1",",,X"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-29","11.63",",,W"," 1645",",,X"," 1645",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"23",",,0","16",",,0",,,"  300",",,X","  300",",,X","23.0",",,X","32.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-30","8.95",",,W"," 0402",",,X"," 0401",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"20",",,0","13",",,0",,,"  280",",,X","  290",",,X","17.0",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-31","6.26",",,W"," 2339",",,X"," 2003",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"30",",,0","14",",,0",,,"  230",",,X","  270",",,X","12.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-01","8.05",",,W"," 0455",",,X"," 1014",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"35",",,0","25",",,0",,,"  270",",,X","  290",",,X","16.1",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-02","4.25",",,W"," 0542",",,X"," 0021",",,W","0.03",",,0,2400","0.8",",,0,","0.0",",,0,",,,"33",",,0","27",",,0",,,"  330",",,X","  230",",,X","10.1",",,X","15.0",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-03","5.14",",,W"," 2250",",,X"," 2249",",,W","0.06",",,0,2400","0.2",",,0,","1.0",",,0,",,,"39",",,0","29",",,0",,,"  290",",,X","  290",",,X","16.1",",,X","23.9",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-04","8.95",",,W"," 0435",",,X"," 0407",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"37",",,0","28",",,0",,,"  300",",,X","  300",",,X","17.0",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-05","4.70",",,W"," 2359",",,X"," 2358",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"36",",,0","29",",,0",,,"   60",",,X","   50",",,X","17.0",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-06","13.65",",,W"," 0518",",,X"," 0519",",,W","0.00","T,,0,2400","0.0","T,,0,","0.0",",,0,",,,"33",",,0","20",",,0",,,"   60",",,X","   50",",,X","29.1",",,X","36.9",",,X",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-07","10.07",",,W"," 2100",",,X"," 1532",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"34",",,0","17",",,0",,,"  290",",,X","  280",",,X","17.0",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-08","9.84",",,W"," 1358",",,X"," 1558",",,W","0.00",",,0,2400","0.0",",,0,","0.0",",,0,",,,"37",",,0","23",",,0",,,"  300",",,X","  310",",,X","17.9",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-09","5.14",",,W"," 2130",",,X"," 0435",",,W","0.00","T,,0,2400","0.0","T,,0,","0.0",",,0,",,,"42",",,0","28",",,0",,,"  250",",,X","  260",",,X","13.0",",,X","17.0",",,X",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-10","12.30",",,W"," 1324",",,X"," 2337",",,W","1.33",",,0,2400","10.0",",,0,","2.0",",,0,",,,"34",",,0","30",",,0",,,"   40",",,X","  310",",,X","23.9",",,X","33.1",",,X","    1",",,X","    1",",,X",,,,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,0",,,"    1",",,X",,,"    1",",,X"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-11","11.86",",,W"," 1236",",,X"," 0637",",,W","0.00",",,0,2400","0.0",",,0,","10.0",",,0,",,,"37",",,0","28",",,0",,,"  290",",,X","  290",",,X","21.0",",,X","32.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-12","8.28",",,W"," 1050",",,X"," 0047",",,W","0.00",",,0,2400","0.0",",,0,","8.0",",,0,",,,"37",",,0","26",",,0",,,"  290",",,X","  310",",,X","15.0",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-13","8.72",",,W"," 2045",",,X"," 2204",",,W","0.00",",,0,2400","0.0",",,0,","8.0",",,0,",,,"32",",,0","24",",,0",,,"  280",",,X","  260",",,X","17.9",",,X","29.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-14","9.17",",,W"," 1218",",,X"," 1151",",,W","0.00",",,0,2400","0.0",",,0,","8.0",",,0,",,,"39",",,0","28",",,0",,,"  270",",,X","  280",",,X","17.9",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-15","6.93",",,W"," 0402",",,X"," 0421",",,W","0.01",",,0,2400","0.0","T,,0,","7.0",",,0,",,,"40",",,0","27",",,0",,,"  250",",,X","  230",",,X","15.0",",,X","21.9",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-16","5.59",",,W"," 2217",",,X"," 2130",",,W","0.43",",,0,2400","5.0",",,0,","6.0",",,0,",,,"33",",,0","29",",,0",,,"  270",",,X","  270",",,X","13.0",",,X","19.9",",,X","    1",",,X","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,X","    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-17","8.05",",,W"," 1731",",,X"," 2256",",,W","0.00",",,0,2400","0.0",",,0,","10.0",",,0,",,,"35",",,0","26",",,0",,,"  270",",,X","  270",",,X","15.0",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-18","10.07",",,W"," 1004",",,X"," 1316",",,W","0.00",",,0,2400","0.0",",,0,","8.0",",,0,",,,"40",",,0","32",",,0",,,"  300",",,X","  270",",,X","17.9",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-19","11.41",",,W"," 0257",",,X"," 0257",",,W","0.00",",,0,2400","0.0",",,0,","6.0",",,0,",,,"43",",,0","35",",,0",,,"  270",",,X","  270",",,X","23.0",",,X","34.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-20","8.05",",,W"," 1212",",,X"," 1247",",,W","0.00",",,0,2400","0.0",",,0,","4.0",",,0,",,,"44",",,0","35",",,0",,,"  300",",,X","  280",",,X","17.0",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-21","9.62",",,W"," 1527",",,X"," 1749",",,W","0.00",",,0,2400","0.0",",,0,","3.0",",,0,",,,"46",",,0","33",",,0",,,"  290",",,X","  300",",,X","17.0",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-22","6.04",",,W"," 2314",",,X"," 2314",",,W","0.03",",,0,2400","0.0","T,,0,","0.0",",,0,",,,"45",",,0","29",",,0",,,"  100",",,X","   50",",,X","14.1",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-23","14.09",",,W"," 1214",",,X"," 1658",",,W","1.20",",,0,2400","0.0","T,,0,","0.0",",,0,",,,"38",",,0","35",",,0",,,"   60",",,X","   60",",,X","25.9",",,X","40.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,"    1",",,X",,
